Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Gudur,120,PASIM SUNIL KUMAR,Telugu Desam,MERIGA MURALIDHAR,Yuvajana Sramika Rythu Congress Party,21192,21/21,Result Declared
Guntakal,150,GUMMANUR JAYARAM,Telugu Desam,Y. VENKATA RAMA REDDY,Yuvajana Sramika Rythu Congress Party,6826,20/20,Result Declared
Guntur East,95,MOHAMMED NASEER AHMED,Telugu Desam,NOORI FATHIMA SHAIK,Yuvajana Sramika Rythu Congress Party,31962,19/19,Result Declared
Guntur West,94,GALLA MADHAVI,Telugu Desam,RAJINI VIDADALA,Yuvajana Sramika Rythu Congress Party,51150,21/21,Result Declared
Gurajala,100,YARAPATHINENI SRINIVASA RAO,Telugu Desam,KASU MAHESH REDDY,Yuvajana Sramika Rythu Congress Party,29486,23/23,Result Declared
Hindupur,157,NANDAMURI BALAKRISHNA,Telugu Desam,DEEPIKA T N,Yuvajana Sramika Rythu Congress Party,32597,19/19,Result Declared
Ichchapuram,1,ASHOK BENDALAM,Telugu Desam,PIRIYA VIJAYA,Yuvajana Sramika Rythu Congress Party,39783,22/22,Result Declared
Jaggampeta,52,JYOTHULA NEHRU,Telugu Desam,THOTA NARASIMHAM,Yuvajana Sramika Rythu Congress Party,52676,18/18,Result Declared
Jaggayyapeta,84,RAJAGOPAL SREERAM (TATAIAH),Telugu Desam,UDAYA BHANU SAMINENI,Yuvajana Sramika Rythu Congress Party,15977,16/16,Result Declared
Jammalamadugu,131,ADINARAYANA REDDY CHADIPIRALA,Bharatiya Janata Party,MULE SUDHEER REDDY,Yuvajana Sramika Rythu Congress Party,17191,23/23,Result Declared
Kadapa,126,MADHAVI REDDAPPA GARI,Telugu Desam,AMZATH BASHA SHAIK BEPARI,Yuvajana Sramika Rythu Congress Party,18860,21/21,Result Declared
Kadiri,161,KANDIKUNTA VENKATA PRASAD,Telugu Desam,MAQBOOL B.S.,Yuvajana Sramika Rythu Congress Party,6265,21/21,Result Declared
Kaikalur,73,KAMINENI SRINIVAS,Bharatiya Janata Party,DULAM NAGESWARA RAO,Yuvajana Sramika Rythu Congress Party,45273,17/17,Result Declared
Kakinada City,41,VANAMADI VENKATESWARA RAO @ KONDABABU,Telugu Desam,DWARAMPUDI CHANDRASEKHARA REDDY,Yuvajana Sramika Rythu Congress Party,56572,17/17,Result Declared
Kakinada Rural,38,PANTAM VENKATESWARA RAO (PANTAM NANAJI),Janasena Party,KURASALA KANNA BABU,Yuvajana Sramika Rythu Congress Party,72040,20/20,Result Declared
Kalyandurg,154,AMILINENI SURENDRA BABU,Telugu Desam,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,37734,19/19,Result Declared
Kamalapuram,130,KRISHNA CHAITANYA REDDY PUTHA,Telugu Desam,POCHIMAREDDY RAVINDRANATH REDDY,Yuvajana Sramika Rythu Congress Party,25357,18/18,Result Declared
Kandukur,109,INTURI NAGESWARA RAO,Telugu Desam,MADHU SUDHANRAO BURRA,Yuvajana Sramika Rythu Congress Party,18558,20/20,Result Declared
Kanigiri,113,DR. UGRA NARASIMHA REDDY MUKKU,Telugu Desam,DADDALA NARAYANA,Yuvajana Sramika Rythu Congress Party,14604,22/22,Result Declared
Kavali,114,DAGUMATI VENKATA KRISHNA REDDY,Telugu Desam,RAMIREDDY PRATAP KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,30948,24/24,Result Declared
