Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Basudevpur,45,ASHOK KUMAR DAS,Indian National Congress,BISHNUBRATA ROUTRAY,Biju Janata Dal,631,21/21,Result Declared
Begunia,116,PRADIP KUMAR SAHU S/O-LAXMIDHAR SAHU,Biju Janata Dal,PRAKASHA CHANDRA BIJULI,Bharatiya Janata Party,47814,18/18,Result Declared
Berhampur,133,K. ANIL KUMAR,Bharatiya Janata Party,DR. RAMESH CHANDRA CHYAU PATNAIK,Biju Janata Dal,18709,22/22,Result Declared
Bhadrak,44,SITANSU SEKHAR MOHAPATRA,Bharatiya Janata Party,PRAFULLA SAMAL,Biju Janata Dal,16068,19/19,Result Declared
Bhandaripokhari,43,SANJIB KUMAR MALLICK,Biju Janata Dal,NIRANJAN PATNAIK,Indian National Congress,1551,20/20,Result Declared
Bhanjanagar,123,PRADYUMNA KUMAR NAYAK,Bharatiya Janata Party,BIKRAM KESHARI ARUKHA,Biju Janata Dal,16324,19/19,Result Declared
Bhatli,5,IRASIS ACHARYA,Bharatiya Janata Party,SUSANTA SINGH,Biju Janata Dal,27892,22/22,Result Declared
Bhawanipatna,80,SAGAR CHARAN DAS,Indian National Congress,PRADIPTA KUMAR NAIK,Bharatiya Janata Party,13741,21/21,Result Declared
Bhograi,36,GOUTAM BUDDHA DAS,Biju Janata Dal,SATYA SHIBA DAS,Indian National Congress,6564,26/26,Result Declared
Bhubaneswar Central,112,ANANTA NARAYAN JENA,Biju Janata Dal,JAGANNATH PRADHAN,Bharatiya Janata Party,37,17/17,Result Declared
Bhubaneswar North,113,SUSANT KUMAR ROUT,Biju Janata Dal,PRIYADARSHI MISHRA,Bharatiya Janata Party,11343,22/22,Result Declared
Bijepur,2,SANAT KUMAR GARTIA,Bharatiya Janata Party,RITA SAHU,Biju Janata Dal,10066,22/22,Result Declared
Binjharpur,48,PRAMILA MALLIK,Biju Janata Dal,BABITA MALLICK,Bharatiya Janata Party,2856,20/20,Result Declared
Biramitrapur,10,ROHIT JOSEPH TIRKEY,Biju Janata Dal,SHANKAR ORAM,Bharatiya Janata Party,6884,22/22,Result Declared
Birmaharajpur,64,RAGHUNATH JAGADALA,Bharatiya Janata Party,PADMANABHA BEHERA,Biju Janata Dal,21946,23/23,Result Declared
Bissam Cuttack,139,NILAMADHAB HIKAKA,Indian National Congress,JAGANNATH SARAKA,Biju Janata Dal,9403,30/30,Result Declared
Bolangir,68,KALIKESH NARAYAN SINGH DEO,Biju Janata Dal,SAMARENDRA MISHRA,Indian National Congress,13409,20/20,Result Declared
Bonai,14,LAXMAN MUNDA,Communist Party of India  (Marxist),BHIMSEN CHOUDHURY,Biju Janata Dal,23439,23/23,Result Declared
Boudh,86,SAROJ KUMAR PRADHAN,Bharatiya Janata Party,PRADIP KUMAR AMAT,Biju Janata Dal,2765,17/17,Result Declared
Brahmagiri,108,UPASNA MOHAPATRA,Bharatiya Janata Party,UMAKANTA SAMANTARAY,Biju Janata Dal,9830,28/28,Result Declared
