Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Narla,81,MANORAMA MOHANTY,Biju Janata Dal,BHAKTA CHARAN DAS,Indian National Congress,5205,21/21,Result Declared
Nayagarh,122,ARUNA KUMAR SAHOO,Biju Janata Dal,PRATYUSHA RAJESHWARI SINGH,Bharatiya Janata Party,439,20/20,Result Declared
Niali,92,CHHABI MALIK,Bharatiya Janata Party,DR. PRAMOD KUMAR MALLICK,Biju Janata Dal,1452,28/28,Result Declared
Nilgiri,40,SANTOSH KHATUA,Bharatiya Janata Party,SUKANTA KUMAR NAYAK,Biju Janata Dal,19839,17/17,Result Declared
Nimapara,106,PRAVATI PARIDA,Bharatiya Janata Party,DILLIP KUMAR NAYAK,Biju Janata Dal,4588,28/28,Result Declared
Nuapada,71,RAJENDRA DHOLAKIA,Biju Janata Dal,GHASIRAM MAJHI,Independent,10881,23/23,Result Declared
Padampur,1,BARSHA SINGH BARIHA,Biju Janata Dal,GOBARDHAN BHOY,Bharatiya Janata Party,10993,25/25,Result Declared
Pallahara,59,ASHOK MOHANTY,Bharatiya Janata Party,MUKESH KUMAR PAL,Biju Janata Dal,7563,20/20,Result Declared
Paradeep,101,SAMPAD CHANDRA SWAIN,Bharatiya Janata Party,GEETANJALI ROUTRAY,Biju Janata Dal,15787,22/22,Result Declared
Paralakhemundi,137,RUPESH KUMAR PANIGRAHI,Biju Janata Dal,KODURU NARAYANA RAO,Bharatiya Janata Party,3998,29/29,Result Declared
Parjanga,58,BIBHUTI BHUSAN PRADHAN,Bharatiya Janata Party,DR. NRUSINGHA CHARAN SAHU,Biju Janata Dal,32162,26/26,Result Declared
Patkura,96,ARVIND MOHAPATRA,Biju Janata Dal,TEJESWAR PARIDA,Bharatiya Janata Party,13822,31/31,Result Declared
Patna,23,AKHILA CHANDRA NAIK,Bharatiya Janata Party,JAGANNATH NAIK,Biju Janata Dal,37979,20/20,Result Declared
Patnagarh,67,KANAK VARDHAN SINGH DEO,Bharatiya Janata Party,SAROJ KUMAR MEHER,Biju Janata Dal,1357,26/26,Result Declared
Phulbani,84,UMA CHARAN MALLICK,Bharatiya Janata Party,JAYASHREE KANHAR,Biju Janata Dal,2858,23/23,Result Declared
Pipili,110,ASHRIT PATTANAYAK,Bharatiya Janata Party,RUDRA PRATAP MAHARATHY,Biju Janata Dal,15162,28/28,Result Declared
Polasara,124,GOKULANANDA MALLIK,Bharatiya Janata Party,SRIKANTA SAHU,Biju Janata Dal,20946,22/22,Result Declared
Pottangi,145,RAMA CHANDRA KADAM,Indian National Congress,PRAFULLA KUMAR PANGI,Biju Janata Dal,1919,20/20,Result Declared
Puri,107,SUNIL KUMAR MOHANTY,Biju Janata Dal,JAYANTA KUMAR SARANGI,Bharatiya Janata Party,5178,24/24,Result Declared
Raghunathpali,11,DURGA CHARAN TANTI,Bharatiya Janata Party,ARCHANA REKHA BEHERA,Biju Janata Dal,5774,20/20,Result Declared
