Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Ghasipura,21,BADRI NARAYAN PATRA,Biju Janata Dal,SOUMYA RANJAN PATNAIK,Independent,13811,22/22,Result Declared
Gopalpur,132,BIBHUTI BHUSHAN JENA,Bharatiya Janata Party,BIKRAM KUMAR PANDA,Biju Janata Dal,9062,16/16,Result Declared
Gunupur,138,SATYAJEET GOMANGO,Indian National Congress,RAGHUNATH GOMANGO,Biju Janata Dal,29885,21/21,Result Declared
Hindol,56,SIMARANI NAYAK,Bharatiya Janata Party,MAHESH SAHOO,Biju Janata Dal,11827,27/27,Result Declared
Hinjili,131,NAVEEN PATNAIK,Biju Janata Dal,SISIR KUMAR MISHRA,Bharatiya Janata Party,4636,18/18,Result Declared
Jagatsinghpur,104,AMARENDRA DAS,Bharatiya Janata Party,PRASANTA KUMAR MUDULI,Biju Janata Dal,22138,22/22,Result Declared
Jajpur,52,SUJATA SAHU,Biju Janata Dal,GOUTAM RAY,Bharatiya Janata Party,2564,22/22,Result Declared
Jaleswar,35,ASWINI KUMAR PATRA,Biju Janata Dal,BRAJAMOHAN PRADHAN,Bharatiya Janata Party,319,22/22,Result Declared
Jashipur,26,GANESH RAM SINGKHUNTIA,Bharatiya Janata Party,CHAKRADHAR HEMBRAM,Biju Janata Dal,34667,21/21,Result Declared
Jatani,115,BIBHUTI BHUSAN BALABANTARAY,Biju Janata Dal,BISWARANJAN BADAJENA,Bharatiya Janata Party,25221,19/19,Result Declared
Jayadev,111,NABA KISHOR MALLICK,Biju Janata Dal,ARABINDA DHALI,Bharatiya Janata Party,21473,20/20,Result Declared
Jeypore,143,TARA PRSADA BAHINIPATI,Indian National Congress,INDIRA NANDA,Biju Janata Dal,13111,24/24,Result Declared
Jharigam,74,NARSING BHATRA,Bharatiya Janata Party,RAMESH CHANDRA MAJHI,Biju Janata Dal,3278,22/22,Result Declared
Jharsuguda,7,TANKADHAR TRIPATHY,Bharatiya Janata Party,DIPALI DAS,Biju Janata Dal,1333,19/19,Result Declared
Junagarh,78,DIBYA SHANKAR MISHRA,Biju Janata Dal,MANOJ KUMAR MEHER,Bharatiya Janata Party,1338,24/24,Result Declared
Kabisuryanagar,125,PRATAP CHANDRA NAYAK,Bharatiya Janata Party,LATIKA PRADHAN,Biju Janata Dal,30173,21/21,Result Declared
Kakatpur,105,TUSHARKANTI BEHERA,Biju Janata Dal,BAIDHAR MALIK,Bharatiya Janata Party,23151,28/28,Result Declared
Kamakhyanagar,57,SATRUGHAN JENA,Bharatiya Janata Party,PRAFULLA KUMAR MALLIK,Biju Janata Dal,4662,25/25,Result Declared
Kantabanji,70,LAXMAN BAG,Bharatiya Janata Party,NAVEEN PATNAIK,Biju Janata Dal,16344,29/29,Result Declared
Kantamal,85,KANHAI CHARAN DANGA,Bharatiya Janata Party,MAHIDHAR RANA,Biju Janata Dal,7149,17/17,Result Declared
