Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Pakke-Kessang,12,BIYURAM WAHGE,Bharatiya Janata Party,TECHI HEMU,Nationalist Congress Party,813,2/2,Result Declared
Palin,18,BALO RAJA,Bharatiya Janata Party,MAYU TARING,National People's Party,5040,3/3,Result Declared
Pangin,35,OJING TASING,Bharatiya Janata Party,TAPANG TALOH,Nationalist Congress Party,2594,5/5,Result Declared
Pasighat(East),38,TAPI DARANG,National People's Party,KALING MOYONG,Bharatiya Janata Party,321,5/5,Result Declared
Pasighat(West),37,NINONG ERING,Bharatiya Janata Party,TAPYAM PADA,Nationalist Congress Party,2871,4/4,Result Declared
Pongchau-Wakka,60,HONCHUN NGANDAM,Bharatiya Janata Party,HOLAI WANGSA,Independent,4662,4/4,Result Declared
Raga,25,ROTOM TEBIN,Bharatiya Janata Party,AJAY MURTEM,National People's Party,2934,4/4,Result Declared
Roing,43,MUTCHU MITHI,Bharatiya Janata Party,-,-,-,-,Uncontested
Rumgong,32,TALEM TABOH,Bharatiya Janata Party,TAJA BONUNG,National People's Party,1182,4/4,Result Declared
Sagalee,15,RATU TECHI,Bharatiya Janata Party,-,-,-,-,Uncontested
Seppa (East),10,EALING TALLANG,Bharatiya Janata Party,TAME GYADI,Indian National Congress,5600,4/4,Result Declared
Seppa (West),11,MAMA NATUNG,Bharatiya Janata Party,TANI LOFFA,National People's Party,1249,3/3,Result Declared
Tali,20,JIKKE TAKO,Bharatiya Janata Party,-,-,-,-,Uncontested
Taliha,23,NYATO DUKAM,Bharatiya Janata Party,-,-,-,-,Uncontested
Tawang,2,NAMGEY TSERING,National People's Party,TSERING DORJEE,Bharatiya Janata Party,996,4/4,Result Declared
Tezu,44,DR. MOHESH CHAI,Bharatiya Janata Party,KARIKHO KRI,National People's Party,2805,3/3,Result Declared
Thrizino-Buragaon,6,TENZIN NYIMA GLOW,Independent,KUMSI SIDISOW,Bharatiya Janata Party,400,7/7,Result Declared
Tuting-Yingkiong,34,ALO LIBANG,Bharatiya Janata Party,NOBENG BURANG,People's Party of Arunachal,915,5/5,Result Declared
Yachuli,16,TOKO TATUNG,Nationalist Congress Party,TABA TEDIR,Bharatiya Janata Party,228,4/4,Result Declared
Ziro-Hapoli,17,HAGE APPA,Bharatiya Janata Party,-,-,-,-,Uncontested
