Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Pamarru (SC),77,KUMAR RAJA VARLA,Telugu Desam,ANIL KUMAR KAILE,Yuvajana Sramika Rythu Congress Party,29690,17/17,Result Declared
Panyam,138,GOWRU CHARITHA REDDY,Telugu Desam,KATASANI RAMABHUPAL REDDY,Yuvajana Sramika Rythu Congress Party,40591,26/26,Result Declared
Parchur,104,YELURI SAMBASIVA RAO,Telugu Desam,YADAM BALAJI,Yuvajana Sramika Rythu Congress Party,24013,22/22,Result Declared
Parvathipuram,12,BONELA VIJAYA CHANDRA,Telugu Desam,ALAJANGI JOGARAO,Yuvajana Sramika Rythu Congress Party,24414,17/17,Result Declared
Pathapatnam,4,MAMIDI GOVINDA RAO,Telugu Desam,REDDY SHANTHI,Yuvajana Sramika Rythu Congress Party,26527,24/24,Result Declared
Pattikonda,142,K.E. SHYAM KUMAR,Telugu Desam,KANGATI SREEDEVI,Yuvajana Sramika Rythu Congress Party,14211,19/19,Result Declared
Payakaraopet,33,ANITHA VANGALAPUDI,Telugu Desam,JOGULU KAMBALA,Yuvajana Sramika Rythu Congress Party,43727,21/21,Result Declared
Pedakurapadu,85,BHASHYAM PRAVEEN,Telugu Desam,NAMBURU SANKARA RAO,Yuvajana Sramika Rythu Congress Party,21089,20/20,Result Declared
Pedana,74,KAGITHA KRISHNAPRASAD,Telugu Desam,UPPALA RAMESH(RAMU),Yuvajana Sramika Rythu Congress Party,38123,17/17,Result Declared
Peddapuram,39,CHINA RAJAPPA NIMMAKAYALA,Telugu Desam,DAVULURI DORABABU,Yuvajana Sramika Rythu Congress Party,40451,15/15,Result Declared
Penamaluru,78,BODE PRASAD,Telugu Desam,JOGI RAMESH,Yuvajana Sramika Rythu Congress Party,59915,23/23,Result Declared
Pendurthi,31,PANCHAKARLA RAMESH BABU,Janasena Party,ANNAMREDDY ADEEP RAJ,Yuvajana Sramika Rythu Congress Party,81870,22/22,Result Declared
Penukonda,158,S. SAVITHA,Telugu Desam,K.V. USHA SHRICHARAN,Yuvajana Sramika Rythu Congress Party,33388,19/19,Result Declared
Pileru,163,NALLARI KISHAN KUMAR REDDY,Telugu Desam,CHINTHALA RAMACHANDRA REDDY,Yuvajana Sramika Rythu Congress Party,25081,21/21,Result Declared
Pithapuram,37,KONIDALA PAWAN KALYAN,Janasena Party,VANGA GEETHA VISWANATH,Yuvajana Sramika Rythu Congress Party,70279,18/18,Result Declared
Polavaram,67,CHIRRI BALARAJU,Janasena Party,TELLAM RAJYA LAKSHMI,Yuvajana Sramika Rythu Congress Party,7935,21/21,Result Declared
Ponnur,88,DHULIPALLA NARENDRA KUMAR,Telugu Desam,AMBATI MURALI KRISHNA,Yuvajana Sramika Rythu Congress Party,32915,19/19,Result Declared
Prathipadu,36,VARUPULA SATYA PRABHA,Telugu Desam,VARUPULA SUBBARAO,Yuvajana Sramika Rythu Congress Party,38768,17/17,Result Declared
Prathipadu (SC),93,BURLA RAMANJANEYULU,Telugu Desam,BALASANI KIRAN KUMAR,Yuvajana Sramika Rythu Congress Party,42015,22/22,Result Declared
Proddatur,132,NANDYALA VARADA RAJULA REDDY,Telugu Desam,RACHAMALLU SIVA PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,22744,20/20,Result Declared
