S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DAVINDER KUMAR (BHUTTO),Bharatiya Janata Party,30841,656,31497,45.5
2,VIVEK SHARMA (VICKU),Indian National Congress,35728,1125,36853,53.24
3,CHANCHAL SINGH,Independent,290,10,300,0.43
4,RAJEEV SHARMA,Independent,228,6,234,0.34
5,NOTA,None of the Above,337,4,341,0.49
 ,Total, ,67424,1801,69225, 
