S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAVI SINGH,Bahujan Samaj Party,22366,29,22395,11.37
2,VIJAY SINGH,Samajwadi Party,82450,337,82787,42.02
3,SARAVAN KUMAR,Bharatiya Janata Party,79432,147,79579,40.39
4,DAYASHANKAR SINGH,Gondvana Gantantra Party,2659,2,2661,1.35
5,MANOJ KUMAR,Rashtriya Samanta Dal,2300,0,2300,1.17
6,DINESH KUMAR,Independent,2043,2,2045,1.04
7,NOTA,None of the Above,5249,3,5252,2.67
 ,Total, ,196499,520,197019, 
