Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Talcher,60,BRAJA KISHORE PRADHAN,Biju Janata Dal,KALANDI CHARAN SAMAL,Bharatiya Janata Party,32122,17/17,Result Declared
Talsara,8,BHABANI SHANKAR BHOI,Bharatiya Janata Party,BINAYA KUMAR TOPPO,Biju Janata Dal,17189,20/20,Result Declared
Telkoi,20,DR. FAKIR MOHAN NAIK,Bharatiya Janata Party,MADHABA SARDAR,Biju Janata Dal,9439,23/23,Result Declared
Tirtol,102,RAMAKANTA BHOI,Biju Janata Dal,RAJKISHORE BEHERA,Bharatiya Janata Party,28495,20/20,Result Declared
Titlagarh,69,NABIN KUMAR JAIN,Bharatiya Janata Party,TUKUNI SAHU,Biju Janata Dal,17399,23/23,Result Declared
Udala,31,BHASKAR MADHEI,Bharatiya Janata Party,SRINATH SOREN,Biju Janata Dal,6517,21/21,Result Declared
Umerkote,73,NITYANANDA GOND,Bharatiya Janata Party,NABINA NAYAK,Biju Janata Dal,10373,23/23,Result Declared
