S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANJU BEGAM,Indian National Congress,91403,76,91479,41.29
2,BHASKAR SARKAR,Bharatiya Janata Party,17265,23,17288,7.8
3,REYAT HOSSAIN SARKAR,All India Trinamool Congress,107018,78,107096,48.34
4,OMAR KHAYYAM (ZIKO),Socialist Unity Centre Of India (COMMUNIST),1092,1,1093,0.49
5,MD MURSHIDUL ALAM,All India Secular Front,2295,3,2298,1.04
6,NASHIM HOSSAIN,Independent,572,0,572,0.26
7,MD. NURUL ISLAM,Independent,463,0,463,0.21
8,NOTA,None of the Above,1252,3,1255,0.57
 ,Total, ,221360,184,221544, 
