Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Mylavaram,82,VASANTHA VENKATA KRISHNA PRASAD,Telugu Desam,TIRAPATHIRAO SARNALA,Yuvajana Sramika Rythu Congress Party,42829,22/22,Result Declared
Nagari,170,GALI BHANU PRAKASH,Telugu Desam,R.K. ROJA,Yuvajana Sramika Rythu Congress Party,45004,18/18,Result Declared
Nandigama (SC),83,TANGIRALA SOWMYA,Telugu Desam,MONDITOKA JAGAN MOHAN RAO,Yuvajana Sramika Rythu Congress Party,27395,17/17,Result Declared
Nandikotkur (SC),136,G JAYASURYA,Telugu Desam,DARA SUDHEER,Yuvajana Sramika Rythu Congress Party,9792,27/27,Result Declared
Nandyal,139,NASYAM MOHAMMED FAROOK,Telugu Desam,SILPA RAVI CHANDRA KISHORE REDDY,Yuvajana Sramika Rythu Congress Party,12333,21/21,Result Declared
Narasannapeta,8,BAGGU RAMANAMURTHY,Telugu Desam,KRISHNADAS DHARMANA,Yuvajana Sramika Rythu Congress Party,29371,21/21,Result Declared
Narasapuram,58,BOMMIDI NARAYANA NAYAKAR,Janasena Party,NAGARAJA VARA PRASADA RAJU MUDUNURI,Yuvajana Sramika Rythu Congress Party,49738,13/13,Result Declared
Narasaraopet,97,ARAVINDA BABU CHADALAVADA,Telugu Desam,GOPIREDDY SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,19705,18/18,Result Declared
Narsipatnam,34,AYYANNAPATRUDU CHINTAKAYALA,Telugu Desam,UMA SANKARA GANESH PETLA,Yuvajana Sramika Rythu Congress Party,24676,19/19,Result Declared
Nellimarla,17,LOKAM NAGA MADHAVI,Janasena Party,APPALANAIDU BADDUKONDA,Yuvajana Sramika Rythu Congress Party,39829,18/18,Result Declared
Nellore City,117,NARAYANA PONGURU,Telugu Desam,KHALEEL AHAMAD MD,Yuvajana Sramika Rythu Congress Party,72489,18/18,Result Declared
Nellore Rural,118,KOTAMREDDY SRIDHAR REDDY,Telugu Desam,ADALA PRABHAKARA REDDY,Yuvajana Sramika Rythu Congress Party,34480,24/24,Result Declared
Nidadavole,55,KANDULA DURGESH,Janasena Party,G.SRINIVAS NAIDU,Yuvajana Sramika Rythu Congress Party,33304,16/16,Result Declared
Nuzvid,70,KOLUSU PARTHA SARATHY,Telugu Desam,MEKA VENKATA PRATAP APPARAO,Yuvajana Sramika Rythu Congress Party,12378,21/21,Result Declared
Ongole,108,DAMACHARLA JANARDHANA RAO,Telugu Desam,BALINENI SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,34026,19/19,Result Declared
Paderu,29,MATSYARASA VISWESWARA RAJU,Yuvajana Sramika Rythu Congress Party,ESWARI GIDDI,Telugu Desam,19338,23/23,Result Declared
Palacole,57,DR.NIMMALA RAMANAIDU,Telugu Desam,GUDALA SRI HARI GOPALA RAO (GUDALA GOPI),Yuvajana Sramika Rythu Congress Party,67945,14/14,Result Declared
Palakonda,10,JAYAKRISHNA NIMMAKA,Janasena Party,VISWASARAYI KALAVATHI,Yuvajana Sramika Rythu Congress Party,13291,21/21,Result Declared
Palamaner,174,AMARANATHA REDDY. N,Telugu Desam,VENKATE GOWDA. N,Yuvajana Sramika Rythu Congress Party,20122,21/21,Result Declared
Palasa,2,GOUTHU SIREESHA,Telugu Desam,APPALARAJU SEEDIRI,Yuvajana Sramika Rythu Congress Party,40350,21/21,Result Declared
