S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,INDER DUTT LAKHANPAL,Bharatiya Janata Party,32174,912,33086,51.04
2,SUBHASH CHAND,Indian National Congress,29857,1104,30961,47.76
3,VISHAL SHARMA,Independent,430,22,452,0.7
4,NOTA,None of the Above,310,13,323,0.5
 ,Total, ,62771,2051,64822, 
