S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARVINDBHAI JINABHAI LADANI,Bharatiya Janata Party,80898,1119,82017,60.03
2,HARIBHAI GOVINDBHAI KANSAGARA,Indian National Congress,50101,900,51001,37.33
3,PARMAR MAHESH RAMJIBHAI,Independent,1057,16,1073,0.79
4,SOLANKI UMEDBHAI JENTIBHAI,Independent,593,4,597,0.44
5,NOTA,None of the Above,1849,101,1950,1.43
 ,Total, ,134498,2140,136638, 
