S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAKESH KUMAR YADAV,Samajwadi Party,86971,149,87120,46.76
2,"SHAILESH KUMAR SINGH ""SHAILU""",Bharatiya Janata Party,77611,72,77683,41.7
3,"MOHD. HARIS KHAN ""FIDA BABA""",Bahujan Samaj Party,16960,23,16983,9.12
4,MOHD GULJAR AHMAD,Peace Party,1304,3,1307,0.7
5,RAM DULARE,Independent,485,0,485,0.26
6,LAKSHMAN LAL,Independent,507,0,507,0.27
7,SHESHRAM,Independent,855,0,855,0.46
8,NOTA,None of the Above,1363,1,1364,0.73
 ,Total, ,186056,248,186304, 
