S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CAPTAIN RANJIT SINGH,Indian National Congress,28577,952,29529,51.4
2,RAJINDER RANA,Bharatiya Janata Party,26403,686,27089,47.16
3,RAVINDER SINGH DOGRA,Nationalist Congress Party,314,20,334,0.58
4,ANIL RANA,Independent,132,2,134,0.23
5,RAJESH KUMAR,Independent,45,1,46,0.08
6,SHER SINGH,Independent,66,5,71,0.12
7,NOTA,None of the Above,235,6,241,0.42
 ,Total, ,55772,1672,57444, 
