Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Cheepurupalle,15,KALAVENKATARAO KIMIDI,Telugu Desam,BOTCHA SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,11971,20/20,Result Declared
Chilakaluripet,96,PRATHIPATI PULLARAO,Telugu Desam,KAVATI SIVA NAGA MANOHAR NAIDU,Yuvajana Sramika Rythu Congress Party,33262,18/18,Result Declared
Chintalapudi,68,ROSHAN KUMAR SONGA,Telugu Desam,KAMBHAM VIJAYA RAJU,Yuvajana Sramika Rythu Congress Party,27766,20/20,Result Declared
Chirala,106,MADDULURI MALA KONDAIAH,Telugu Desam,KARANAM VENKATESH,Yuvajana Sramika Rythu Congress Party,20984,16/16,Result Declared
Chittoor,172,GURAJALA JAGAN MOHAN (GJM),Telugu Desam,M.C. VIJAYANANDA REDDY,Yuvajana Sramika Rythu Congress Party,14604,17/17,Result Declared
Chodavaram,26,SURYA NAGA SANYASI RAJU KALIDINDI,Telugu Desam,KARANAM DHARMASRI,Yuvajana Sramika Rythu Congress Party,42189,18/18,Result Declared
Darsi,103,BUCHEPALLI SIVA PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,GOTTIPATI LAKSHMI,Telugu Desam,2456,21/21,Result Declared
Denduluru,64,CHINTAMANENI PRABHAKAR,Telugu Desam,ABBAYA CHOWDARY KOTHARU,Yuvajana Sramika Rythu Congress Party,26266,18/18,Result Declared
Dharmavaram,160,SATYA KUMAR YADAV,Bharatiya Janata Party,KETHIREDDY VENKATA RAMI REDDY,Yuvajana Sramika Rythu Congress Party,3734,21/21,Result Declared
Dhone,141,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desam,BUGGANA RAJA REDDY,Yuvajana Sramika Rythu Congress Party,6049,21/21,Result Declared
Eluru,65,RADHA KRISHNAYYA BADETI,Telugu Desam,ALLA KALI KRISHNA SRINIVAS,Yuvajana Sramika Rythu Congress Party,62388,16/16,Result Declared
Etcherla,7,ESWARA RAO NADUKUDITI,Bharatiya Janata Party,KIRAN KUMAR GORLE,Yuvajana Sramika Rythu Congress Party,29089,23/23,Result Declared
Gajapathinagaram,16,KONDAPALLI SRINIVAS,Telugu Desam,APPALANARASAYYA BOTCHA,Yuvajana Sramika Rythu Congress Party,25301,20/20,Result Declared
Gajuwaka,25,PALLA SRINIVAS RAO,Telugu Desam,AVSS AMARNATH GUDIVADA,Yuvajana Sramika Rythu Congress Party,95235,22/22,Result Declared
Gangadhara Nellore (SC),171,DR. VM. THOMAS,Telugu Desam,K. KRUPALAKSHMI,Yuvajana Sramika Rythu Congress Party,26011,20/20,Result Declared
Gannavaram,71,YARLAGADDA VENKATA RAO,Telugu Desam,VAMSI VALLABHANENI,Yuvajana Sramika Rythu Congress Party,37628,23/23,Result Declared
Gannavaram(SC),46,GIDDI. SATYANARAYANA,Janasena Party,VIPPARTHI . VENUGOPALARAO,Yuvajana Sramika Rythu Congress Party,33367,19/19,Result Declared
Giddalur,112,ASHOK REDDY MUTHUMULA,Telugu Desam,KUNDURU NAGARJUNA REDDY (KP),Yuvajana Sramika Rythu Congress Party,973,21/21,Result Declared
Gopalapuram,66,MADDIPATI VENKATA RAJU,Telugu Desam,TANETI VANITA,Yuvajana Sramika Rythu Congress Party,26784,18/18,Result Declared
Gudivada,72,VENIGANDLA RAMU,Telugu Desam,KODALI SRI VENKATESWARA RAO (NANI),Yuvajana Sramika Rythu Congress Party,53040,17/17,Result Declared
