S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHIRAGKUMAR ARVINDBHAI PATEL,Bharatiya Janata Party,87707,750,88457,56.3
2,MAHENDRASINH HARISINH PARMAR,Indian National Congress,49505,624,50129,31.91
3,CHAUHAN MAHIPATSINH KESARISINH,Independent,15631,185,15816,10.07
4,MANUBHAI JETHABHAI VANKAR,Independent,795,11,806,0.51
5,NOTA,None of the Above,1886,23,1909,1.22
 ,Total, ,155524,1593,157117, 
