S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANURADHA RANA,Indian National Congress,8877,537,9414,47.09
2,RAVI THAKUR,Bharatiya Janata Party,2934,115,3049,15.25
3,DR. RAM LAL MARKANDA,Independent,7091,363,7454,37.28
4,NOTA,None of the Above,75,1,76,0.38
 ,Total, ,18977,1016,19993, 
