Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Satyavedu,169,KONETI ADIMULAM,Telugu Desam,NUKATHOTI RAJESH,Yuvajana Sramika Rythu Congress Party,3739,20/20,Result Declared
Singanamala (SC),152,BANDARU SRAVANI SREE,Telugu Desam,M.VEERANJANEYULU,Yuvajana Sramika Rythu Congress Party,8788,22/22,Result Declared
Srikakulam,5,GONDU SHANKAR,Telugu Desam,DHARMANA PRASADA RAO,Yuvajana Sramika Rythu Congress Party,52521,20/20,Result Declared
Srikalahasti,168,BOJJALA VENKATA SUDHIR REDDY,Telugu Desam,BIYYAPU MADHUSUDHAN REDDY,Yuvajana Sramika Rythu Congress Party,43304,21/21,Result Declared
Srisailam,135,BUDDA RAJASEKHARA REDDY,Telugu Desam,SILPA CHAKRAPANI REDDY,Yuvajana Sramika Rythu Congress Party,6385,23/23,Result Declared
Srungavarapukota,19,KOLLA LALITHA KUMARI,Telugu Desam,KADUBANDI SRINIVASA RAO,Yuvajana Sramika Rythu Congress Party,38790,21/21,Result Declared
Sullurpeta,121,NELAVALA VIJAYASREE,Telugu Desam,KILIVETI SANJEEVAIAH,Yuvajana Sramika Rythu Congress Party,29115,22/22,Result Declared
Tadepalligudem,62,BOLISETTY SRINIVAS,Janasena Party,KOTTU SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,62492,15/15,Result Declared
Tadikonda (SC),86,TENALI SRAVAN KUMAR,Telugu Desam,SUCHARITHA MEKATHOTI,Yuvajana Sramika Rythu Congress Party,39606,18/18,Result Declared
Tadpatri,151,ASHMIT REDDY J.C,Telugu Desam,KETHIREDDY PEDDAREDDY,Yuvajana Sramika Rythu Congress Party,27731,20/20,Result Declared
Tanuku,61,ARIMILLI RADHA KRISHNA,Telugu Desam,KARUMURI VENKATA NAGESWARA RAO,Yuvajana Sramika Rythu Congress Party,72121,17/17,Result Declared
Tekkali,3,ATCHANNAIDU KINJARAPU,Telugu Desam,DUVVADA SRINIVAS,Yuvajana Sramika Rythu Congress Party,34435,24/24,Result Declared
Tenali,91,NADENDLA MANOHAR,Janasena Party,ANNABATHUNI SIVAKUMAR,Yuvajana Sramika Rythu Congress Party,48112,21/21,Result Declared
Thamballapalle,162,P. DWARAKANATHA REDDY,Yuvajana Sramika Rythu Congress Party,D. JAYACHANDRA REDDY,Telugu Desam,10103,18/18,Result Declared
Tirupati,167,ARANII SRENEVASULU,Janasena Party,BHUMANA ABHINAY,Yuvajana Sramika Rythu Congress Party,61956,20/20,Result Declared
Tiruvuru (SC),69,KOLIKAPUDI SRINIVASA RAO,Telugu Desam,NALLAGATLA SWAMY DAS,Yuvajana Sramika Rythu Congress Party,21874,18/18,Result Declared
Tuni,35,DIVYA YANAMALA,Telugu Desam,DADISETTI RAJA,Yuvajana Sramika Rythu Congress Party,15177,16/16,Result Declared
Udayagiri,123,KAKARLA SURESH,Telugu Desam,MEKAPATI RAJAGOPAL REDDY,Yuvajana Sramika Rythu Congress Party,9621,24/24,Result Declared
Undi,60,KANUMURU RAGHU RAMA KRISHNA RAJU (R R R),Telugu Desam,PENMETSA VENKATA LAKSHMI NARASIMHA RAJU (P.V.L),Yuvajana Sramika Rythu Congress Party,56777,18/18,Result Declared
Ungutur,63,DHARMARAJU PATSAMATLA,Janasena Party,PUPPALA SRINIVASA RAO (VASU BABU),Yuvajana Sramika Rythu Congress Party,44945,17/17,Result Declared
