S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHAITANYA SHARMA,Bharatiya Janata Party,26815,466,27281,42.08
2,RAKESH KALIA,Indian National Congress,34785,983,35768,55.17
3,AMIT VASHISHT,Independent,559,11,570,0.88
4,ASHOK SONKHALA (MIKKI),Independent,319,4,323,0.5
5,MANOHAR LAL SHARMA,Independent,282,6,288,0.44
6,NOTA,None of the Above,599,7,606,0.93
 ,Total, ,63359,1477,64836, 
