S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ALOK KUSHWAHA,Bahujan Samaj Party,8256,67,8323,3.4
2,MUKESH SINGH CHAUHAN,Indian National Congress,88656,405,89061,36.41
3,O. P. SRIVASTAVA,Bharatiya Janata Party,142314,634,142948,58.43
4,VINOD KUMAR BALMIKI,Independent,1589,6,1595,0.65
5,NOTA,None of the Above,2691,16,2707,1.11
 ,Total, ,243506,1128,244634, 
