S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARJUN DEVABHAI MODHWADIA,Bharatiya Janata Party,131854,1309,133163,85.96
2,ODEDARA RAJU BHIMA,Indian National Congress,16096,259,16355,10.56
3,RASIK GHELA MANGERA,Viro Ke Vir Indian Party,785,21,806,0.52
4,ASHVIN DEVAJI MOTIVARAS,Independent,470,7,477,0.31
5,JUNGI JIVANBHAI RANCHHODBHAI,Independent,1077,12,1089,0.7
6,DILAWAR LAKHABHAI JOKHIA,Independent,383,3,386,0.25
7,NOTA,None of the Above,2558,75,2633,1.7
 ,Total, ,153223,1686,154909, 
