Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Kodumur (SC),143,BOGGULA DASTAGIRI,Telugu Desam,AUDIMULAPU SATHISH,Yuvajana Sramika Rythu Congress Party,21583,20/20,Result Declared
Kodur (SC),127,ARAVA SREEDHAR,Janasena Party,KORAMUTLA SREENIVASULU,Yuvajana Sramika Rythu Congress Party,11101,18/18,Result Declared
Kondapi (SC),110,DOCTOR DOLA SREE BALA VEERANJANEYA SWAMY,Telugu Desam,AUDIMULAPU SURESH,Yuvajana Sramika Rythu Congress Party,24756,21/21,Result Declared
Kothapeta,47,BANDARU SATYANANDA RAO,Telugu Desam,CHIRLA JAGGIREDDY,Yuvajana Sramika Rythu Congress Party,56479,19/19,Result Declared
Kovur,116,PRASHANTHI REDDY VEMIREDDY,Telugu Desam,NALLAPAREDDY PRASANNA KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,54583,25/25,Result Declared
Kovvur,54,MUPPIDI VENKATESWARA RAO,Telugu Desam,TALARI VENKATA RAO,Yuvajana Sramika Rythu Congress Party,33946,13/13,Result Declared
Kuppam,175,CHANDRABABU NAIDU NARA,Telugu Desam,K.R.J. BHARATH,Yuvajana Sramika Rythu Congress Party,48006,18/18,Result Declared
Kurnool,137,T.G.BHARATH,Telugu Desam,"A. MD. IMTIAZ I.A.S., (RETD)",Yuvajana Sramika Rythu Congress Party,18876,19/19,Result Declared
Kurupam,11,JAGADEESWARI THOYAKA,Telugu Desam,PAMULA PUSHPA SREEVANI,Yuvajana Sramika Rythu Congress Party,23500,20/20,Result Declared
Macherla,101,JULAKANTI BRAHMANANDA REDDY,Telugu Desam,RAMAKRISHNAREDDY. PINNELLI,Yuvajana Sramika Rythu Congress Party,33318,24/24,Result Declared
Machilipatnam,75,KOLLU. RAVINDRA,Telugu Desam,PERNI KRISHNAMURTHY (KITTU),Yuvajana Sramika Rythu Congress Party,50242,15/15,Result Declared
Madakasira (SC),156,M.S.RAJU,Telugu Desam,IRALAKKAPPA.S.L,Yuvajana Sramika Rythu Congress Party,351,18/18,Result Declared
Madanapalle,164,M.SHAJAHAN BASHA,Telugu Desam,S.NISAR AHAMAD,Yuvajana Sramika Rythu Congress Party,5509,19/19,Result Declared
Madugula,27,BANDARU SATYANARAYANA MURTHY,Telugu Desam,ANURADHA ERLI,Yuvajana Sramika Rythu Congress Party,28026,17/17,Result Declared
Mandapeta,48,JOGESWARA RAO.V,Telugu Desam,THOTA TRIMURTHULU,Yuvajana Sramika Rythu Congress Party,44435,23/23,Result Declared
Mangalagiri,87,NARA LOKESH,Telugu Desam,MURUGUDU LAVANYA,Yuvajana Sramika Rythu Congress Party,91413,22/22,Result Declared
Mantralayam,145,Y. BALANAGI REDDY,Yuvajana Sramika Rythu Congress Party,N. RAGHAVENDRA REDDY,Telugu Desam,12805,17/17,Result Declared
Markapuram,111,KANDULA NARAYANA REDDY,Telugu Desam,ANNA RAMBABU,Yuvajana Sramika Rythu Congress Party,13979,19/19,Result Declared
Mummidivaram,43,DATLA SUBBARAJU (BUCHIBABU),Telugu Desam,PONNADA VENKATA SATISH KUMAR,Yuvajana Sramika Rythu Congress Party,38736,20/20,Result Declared
Mydukur,133,SUDHAKAR PUTTA,Telugu Desam,RAGHURAMI REDDY SETTIPALLY,Yuvajana Sramika Rythu Congress Party,20950,21/21,Result Declared
