S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KANUBHAI PUNJABHAI GOHIL,Indian National Congress,45144,194,45338,25.65
2,DHARMENDRASINH VAGHELA (BAPU),Bharatiya Janata Party,126905,541,127446,72.1
3,NOTA,None of the Above,3943,29,3972,2.25
 ,Total, ,175992,764,176756, 
