S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DIPAK MAJUMDER,Bharatiya Janata Party,24648,732,25380,75.46
2,RATAN DAS,Communist Party of India  (Marxist),7073,293,7366,21.9
3,NOTA,None of the Above,853,34,887,2.64
 ,Total, ,32574,1059,33633, 
